Pk,Player,Conference,College
8,Collin Sexton,Southeastern,Alabama
1,Deandre Ayton,PAC-12,Arizona
7,Lauri Markkanen,PAC-12,Arizona
53,Kadeem Allen,PAC-12,Arizona
8,Stanley Johnson,PAC-12,Arizona
23,Rondae Hollis-Jefferson,PAC-12,Arizona
38,Daniel Gafford,Southeastern,Arkansas
22,Bobby Portis,Southeastern,Arkansas
16,Chuma Okeke,Southeastern,Auburn
12,Taurean Waller-Prince,Big-12,Baylor
26,Dylan Windler,,Belmont
22,Chandler Hutchison,Mountain West,Boise State
13,Jerome Robinson,Atlantic Coast,Boston College
42,Olivier Hanlan,Atlantic Coast,Boston College
37,Richaun Holmes,Mid-American,Bowling Green
35,Ivan Rabb,PAC-12,California
56,Jabari Bird,PAC-12,California
3,Jaylen Brown,PAC-12,California
60,Tyrone Wallace,PAC-12,California
28,Jacob Evans,American,Cincinnati
59,Jaron Blossomgame,Atlantic Coast,Clemson
50,Jarrell Brantley,Colonial Athletic,College of Charleston
59,George King,PAC-12,Colorado
29,Derrick White,PAC-12,Colorado
38,Khyri Thomas,Big East,Creighton
16,Justin Patton,Big East,Creighton
60,Kostas Antetokounmpo,Atlantic 10,Dayton
1,Zion Williamson,Atlantic Coast,Duke
3,RJ Barrett,Atlantic Coast,Duke
10,Cam Reddish,Atlantic Coast,Duke
2,Marvin Bagley,Atlantic Coast,Duke
7,Wendell Carter,Atlantic Coast,Duke
21,Grayson Allen,Atlantic Coast,Duke
37,Gary Trent,Atlantic Coast,Duke
3,Jayson Tatum,Atlantic Coast,Duke
12,Luke Kennard,Atlantic Coast,Duke
20,Harry Giles,Atlantic Coast,Duke
31,Frank Jackson,Atlantic Coast,Duke
2,Brandon Ingram,Atlantic Coast,Duke
3,Jahlil Okafor,Atlantic Coast,Duke
10,Justise Winslow,Atlantic Coast,Duke
24,Tyus Jones,Atlantic Coast,Duke
51,Tyler Harvey,Big Sky,Eastern Washington
27,Mfiondu Kabengele,Atlantic Coast,Florida State
48,Terance Mann,Atlantic Coast,Florida State
6,Jonathan Isaac,Atlantic Coast,Florida State
40,Dwayne Bacon,Atlantic Coast,Florida State
19,Malik Beasley,Atlantic Coast,Florida State
31,Nicolas Claxton,Southeastern,Georgia
28,R.J. Hunter,Sun Belt,Georgia State University
20,Josh Okogie,Atlantic Coast,Georgia Tech
9,Rui Hachimura,West Coast,Gonzaga
21,Brandon Clarke,West Coast,Gonzaga
10,Zach Collins,West Coast,Gonzaga
55,Nigel Williams-Goss,West Coast,Gonzaga
11,Domantas Sabonis,West Coast,Gonzaga
53,Justin Wright-Foreman,Colonial Athletic,Hofstra
14,Romeo Langford,Big-10,Indiana
23,OG Anunoby,Big-10,Indiana
42,Thomas Bryant,Big-10,Indiana
49,Aaron White,Big-10,Iowa
46,Talen Horton-Tucker,Big-12,Iowa State
54,Marial Shayok,Big-12,Iowa State
51,Monte Morris,Big-12,Iowa State
50,Georges Niang,Big-12,Iowa State
58,Abdel Nader,Big-12,Iowa State
34,Devonte' Graham,Big-12,Kansas
47,Sviatoslav Mykhailiuk,Big-12,Kansas
4,Josh Jackson,Big-12,Kansas
34,Frank Mason,Big-12,Kansas
33,Cheick Diallo,Big-12,Kansas
15,Kelly Oubre,Big-12,Kansas
33,Wesley Iwundu,Big-12,Kansas State
12,PJ Washington,Southeastern,Kentucky
13,Tyler Herro,Southeastern,Kentucky
29,Keldon Johnson,Southeastern,Kentucky
9,Kevin Knox,Southeastern,Kentucky
11,Shai Gilgeous-Alexander,Southeastern,Kentucky
41,Jarred Vanderbilt,Southeastern,Kentucky
45,Hamidou Diallo,Southeastern,Kentucky
5,De'Aaron Fox,Southeastern,Kentucky
11,Malik Monk,Southeastern,Kentucky
14,Bam Adebayo,Southeastern,Kentucky
7,Jamal Murray,Southeastern,Kentucky
28,Skal Labissière,Southeastern,Kentucky
34,Tyler Ulis,Southeastern,Kentucky
1,Karl-Anthony Towns,Southeastern,Kentucky
6,Willie Cauley-Stein,Southeastern,Kentucky
12,Trey Lyles,Southeastern,Kentucky
13,Devin Booker,Southeastern,Kentucky
44,Andrew Harrison,Southeastern,Kentucky
48,Dakari Johnson,Southeastern,Kentucky
56,Ray Spalding,Atlantic Coast,Louisville
13,Donovan Mitchell,Atlantic Coast,Louisville
37,Chinanu Onuaku,Atlantic Coast,Louisville
16,Terry Rozier,Atlantic Coast,Louisville
32,Montrezl Harrell,Atlantic Coast,Louisville
51,Tremont Waters,Southeastern,LSU
1,Ben Simmons,Southeastern,LSU
25,Jarell Martin,Southeastern,LSU
33,Jordan Mickey,Southeastern,LSU
18,Henry Ellenson,Big East,Marquette
34,Bruno Fernando,Big-10,Maryland
19,Kevin Huerter,Big-10,Maryland
43,Justin Jackson,Big-10,Maryland
40,Diamond Stone,Big-10,Maryland
47,Jake Layman,Big-10,Maryland
59,Dewan Hernandez,Atlantic Coast,Miami (FL)
18,Lonnie Walker,Atlantic Coast,Miami (FL)
42,Bruce Brown,Atlantic Coast,Miami (FL)
32,Davon Reed,Atlantic Coast,Miami (FL)
28,Jordan Poole,Big-10,Michigan
47,Ignas Brazdeikis,Big-10,Michigan
25,Moritz Wagner,Big-10,Michigan
17,D.J. Wilson,Big-10,Michigan
20,Caris LeVert,Big-10,Michigan
4,Jaren Jackson,Big-10,Michigan State
12,Miles Bridges,Big-10,Michigan State
14,Denzel Valentine,Big-10,Michigan State
31,Deyonta Davis,Big-10,Michigan State
56,Branden Dawson,Big-10,Michigan State
49,Quinndary Weatherspoon,Southeastern,Mississippi State
14,Michael Porter,Southeastern,Missouri
50,Alize Johnson,Missouri Valley,Missouri State
2,Ja Morant,Ohio Valley,Murray State
14,Cameron Payne,Ohio Valley,Murray State
9,Dennis Smith,Atlantic Coast,NC State
45,Isaiah Roby,Big-10,Nebraska
36,Cody Martin,Mountain West,Nevada
27,Pascal Siakam,Western  Athletic,New Mexico State
45,Demetrius Jackson,Atlantic Coast,Notre Dame
19,Jerian Grant,Atlantic Coast,Notre Dame
41,Pat Connaughton,Atlantic Coast,Notre Dame
54,Kay Felder,Horizon League,Oakland
48,Keita Bates-Diop,Big-10,Ohio State
2,D'Angelo Russell,Big-10,Ohio State
5,Trae Young,Big-12,Oklahoma
6,Buddy Hield,Big-12,Oklahoma
59,Isaiah Cousins,Big-12,Oklahoma
39,Jawun Evans,Big-12,Oklahoma State
44,Bol Bol,PAC-12,Oregon
15,Troy Brown,PAC-12,Oregon
38,Jordan Bell,PAC-12,Oregon
41,Tyler Dorsey,PAC-12,Oregon
44,Damyean Dotson,PAC-12,Oregon
45,Dillon Brooks,PAC-12,Oregon
43,Joe Young,PAC-12,Oregon
51,Tony Carr,Big-10,Penn State
5,Kris Dunn,Big East,Providence
51,Ben Bentil,Big East,Providence
33,Carsen Edwards,Big-10,Purdue
52,Vince Edwards,Big-10,Purdue
26,Caleb Swanigan,Big-10,Purdue
46,A.J. Hammons,Big-10,Purdue
21,DeAndre' Bembry,Atlantic 10,Saint Joseph's
52,Jalen McDaniels,Mountain West,San Diego State
42,Isaiah Whitehead,Big East,Seton Hall
54,Shake Milton,American,SMU
37,Semi Ojeleye,American,SMU
46,Sterling Brown,American,SMU
48,Sindarius Thornwell,Southeastern,South Carolina
53,Sir'Dominic Pointer,Big East,St. John's
32,KZ Okpala,PAC-12,Stanford
34,Anthony Brown,PAC-12,Stanford
24,Tyler Lydon,Atlantic Coast,Syracuse
22,Malachi Richardson,Atlantic Coast,Syracuse
49,Michael Gbinije,Atlantic Coast,Syracuse
29,Chris McCullough,Atlantic Coast,Syracuse
36,Rakeem Christmas,Atlantic Coast,Syracuse
22,Grant Williams,Southeastern,Tennessee
42,Admiral Schofield,Southeastern,Tennessee
57,Jordan Bone,Southeastern,Tennessee
40,Josh Richardson,Southeastern,Tennessee
8,Jaxson Hayes,Big-12,Texas
6,Mohamed Bamba,Big-12,Texas
22,Jarrett Allen,Big-12,Texas
11,Myles Turner,Big-12,Texas
27,Robert Williams,Southeastern,Texas A&M
6,Jarrett Culver,Big-12,Texas Tech
16,Zhaire Smith,Big-12,Texas Tech
35,Melvin Frazier,American,Tulane
56,Jaylen Hands,PAC-12,UCLA
23,Aaron Holiday,PAC-12,UCLA
58,Thomas Welsh,PAC-12,UCLA
2,Lonzo Ball,PAC-12,UCLA
18,T.J. Leaf,PAC-12,UCLA
47,Ike Anigbogu,PAC-12,UCLA
30,Kevon Looney,PAC-12,UCLA
46,Norman Powell,PAC-12,UCLA
56,Daniel Hamilton,American,UConn
55,Cady Lalanne,Atlantic 10,UMass
7,Coby White,Atlantic Coast,UNC
11,Cameron Johnson,Atlantic Coast,UNC
25,Nassir Little,Atlantic Coast,UNC
15,Justin Jackson,Atlantic Coast,UNC
28,Tony Bradley,Atlantic Coast,UNC
25,Brice Johnson,Atlantic Coast,UNC
55,Marcus Paige,Atlantic Coast,UNC
58,J.P. Tokoto,Atlantic Coast,UNC
38,Patrick McCaw,Mountain West,UNLV
41,Stephen Zimmerman,Mountain West,UNLV
17,Rashad Vaughn,Mountain West,UNLV
30,Kevin Porter,PAC-12,USC
46,De'Anthony Melton,PAC-12,USC
49,Chimezie Metu,PAC-12,USC
57,Kevin Hervey,Sun Belt,UT Arlington
27,Kyle Kuzma,PAC-12,Utah
9,Jakob Pöltl,PAC-12,Utah
20,Delon Wright,PAC-12,Utah
54,Alec Peters,Missouri Valley,Valparaiso
5,Darius Garland,Southeastern,Vanderbilt
17,Wade Baldwin,Southeastern,Vanderbilt
30,Damian Jones,Southeastern,Vanderbilt
41,Eric Paschall,Big East,Villanova
10,Mikal Bridges,Big East,Villanova
17,Donte DiVincenzo,Big East,Villanova
30,Omari Spellman,Big East,Villanova
33,Jalen Brunson,Big East,Villanova
30,Josh Hart,Big East,Villanova
38,Darrun Hilliard,Big East,Villanova
4,De'Andre Hunter,Atlantic Coast,Virginia
24,Ty Jerome,Atlantic Coast,Virginia
55,Kyle Guy,Atlantic Coast,Virginia
53,Devon Hall,Atlantic Coast,Virginia
36,Malcolm Brogdon,Atlantic Coast,Virginia
21,Justin Anderson,Atlantic Coast,Virginia
17,Nickeil Alexander-Walker,Atlantic Coast,Virginia Tech
19,John Collins,Atlantic Coast,Wake Forest
20,Matisse Thybulle,PAC-12,Washington
43,Jaylen Nowell,PAC-12,Washington
1,Markelle Fultz,PAC-12,Washington
8,Marquese Chriss,PAC-12,Washington
29,Dejounte Murray,PAC-12,Washington
52,Joel Bolomboy,Big Sky,Weber State
32,Jevon Carter,Big-12,West Virginia
26,Landry Shamet,American,Wichita State
45,Marcus Thornton,Colonial Athletic,William & Mary
9,Frank Kaminsky,Big-10,Wisconsin
18,Sam Dekker,Big-10,Wisconsin
40,Justin James,Mountain West,Wyoming
27,Larry Nance,Mountain West,Wyoming
52,Edmond Sumner,Big East,Xavier
58,Miye Oni,Ivy League,Yale
15,Sekou Doumbouya,,Other
18,Goga Bitadze,,Other
19,Luka Šamanić,,Other
23,Darius Bazley,,Other
35,Marcos Louzada Silva,,Other
37,Deividas Sirvydis,,Other
39,Alen Smailagić,,Other
60,Vanja Marinković,,Other
3,Luka Dončić,,Other
24,Anfernee Simons,,Other
29,Džanan Musa,,Other
31,Élie Okobo,,Other
36,Mitchell Robinson,,Other
39,Isaac Bonga,,Other
40,Rodions Kurucs,,Other
44,Issuf Sanon,,Other
55,Arnoldas Kulboka,,Other
8,Frank Ntilikina,,Other
21,Terrance Ferguson,,Other
25,Anžejs Pasečņiks,,Other
36,Jonah Bolden,,Other
43,Isaiah Hartenstein,,Other
49,Vlatko Čančar,,Other
50,Mathias Lessort,,Other
57,Aleksandar Vezenkov,,Other
58,Ognjen Jaramaz,,Other
60,Alpha Kaba,,Other
4,Dragan Bender,,Other
10,Thon Maker,,Other
13,Georgios Papagiannis,,Other
15,Juan Hernangómez,,Other
16,Guerschon Yabusele,,Other
23,Ante Žižić,,Other
24,Timothé Luwawu-Cabarrot,,Other
26,Furkan Korkmaz,,Other
32,Ivica Zubac,,Other
35,Rade Zagorac,,Other
39,David Michineau,,Other
43,Zhou Qi,,Other
44,Isaïa Cordinier,,Other
48,Paul Zipser,,Other
53,Petr Cornelie,,Other
57,Wang Zhelin,,Other
4,Kristaps Porziņģis,,Other
5,Mario Hezonja,,Other
7,Emmanuel Mudiay,,Other
26,Nikola Milutinov,,Other
31,Cedi Osman,,Other
35,Willy Hernangómez,,Other
39,Juan Pablo Vaulet,,Other
47,Artūras Gudaitis,,Other
50,Marcus Eriksson,,Other
52,Satnam Singh Bhamara,,Other
54,Dani Díez de la Faya,,Other
57,Nikola Radičević,,Other
59,Dimitrios Agravanis,,Other
60,Luka Mitrović,,Other
